datetime,wma_9,wma_20,wma_55,hma_21,hma_55,stoch_k_14_3_3,stoch_d_14_3_3,atr_14
2024-06-24 12:00:00+00:00,2326.680888888889,2324.883714285714,2338.7271818181816,2325.946135642136,2318.8862385934176,76.20515779760949,72.92299782308318,5.886349020549223
2024-06-24 13:00:00+00:00,2326.5288888888886,2324.8855714285714,2338.10175974026,2327.026032323233,2317.903881519274,61.54026065096044,71.84759216258512,5.653752661938571
2024-06-24 14:00:00+00:00,2326.5544444444445,2325.060857142857,2337.5214350649344,2327.653721789322,2317.0984272314986,51.64786551647793,63.13109465501592,5.53205604322866
2024-06-24 15:00:00+00:00,2326.825333333333,2325.3863333333334,2336.995603896104,2327.978802886003,2316.501737287844,57.26609157266005,56.81807258003278,5.4576234687123115
2024-06-24 16:00:00+00:00,2327.1382222222223,2325.7559999999994,2336.489961038961,2328.182206637807,2316.1200626674913,62.0902385432993,57.00139854414573,5.630650363804297
2024-06-24 17:00:00+00:00,2327.892888888889,2326.358285714286,2336.085590909091,2328.611408369409,2316.0051743712634,69.57253397066404,62.97628802887444,5.707032480675406
2024-06-24 18:00:00+00:00,2327.9195555555557,2326.6178571428572,2335.57924025974,2328.8932900432906,2316.0725357314636,66.59626672329632,66.08634641241986,5.697244446341428
2024-06-24 19:00:00+00:00,2328.655111111111,2327.233142857143,2335.2267792207795,2329.387663492064,2316.4433968683434,73.15620809086118,69.77500292827382,5.673869843031318
2024-06-24 20:00:00+00:00,2329.446888888889,2327.8392857142853,2334.892376623377,2329.985894949495,2317.0935037621102,75.68999967421986,71.81415816279244,5.452164854243347
2024-06-24 21:00:00+00:00,2330.55,2328.5585714285717,2334.6202337662335,2330.810815584416,2318.0089832165186,87.9136060537736,78.9199379396182,5.251295936083099
2024-06-24 22:00:00+00:00,2331.0522222222226,2329.025285714286,2334.2758181818185,2331.5932346320346,2319.061215273483,86.28626460952677,83.29662344584005,5.078346226362872
2024-06-24 23:00:00+00:00,2331.9468888888887,2329.6885238095238,2334.03248051948,2332.53145974026,2320.267755007558,90.15643802647485,88.1187695632584,4.908464353051258
2024-06-25 01:00:00+00:00,2332.1277777777777,2330.0343333333335,2333.6973246753246,2333.208958152958,2321.494847909366,85.31889290012049,87.25386517870736,4.7642883278333015
2024-06-25 02:00:00+00:00,2332.036888888889,2330.255714285714,2333.3344415584415,2333.543633477633,2322.68053152271,83.22503008423627,86.23345367027719,4.544696304416608
2024-06-25 03:00:00+00:00,2331.724222222222,2330.3719047619047,2332.9549090909095,2333.5014897546894,2323.7689465230537,70.27586236170372,79.60659511535347,4.414360854101122
2024-06-25 04:00:00+00:00,2330.5875555555554,2330.0671904761903,2332.4478051948054,2332.804041558441,2324.639329588401,51.705511412174985,68.40213461937164,4.650477935951026
2024-06-25 05:00:00+00:00,2329.6186666666667,2329.816761904762,2331.9816428571426,2331.7254603174597,2325.330946359857,37.16114988516521,53.047507886347944,4.502586654811663
2024-06-25 06:00:00+00:00,2328.2844444444445,2329.331523809524,2331.4491623376625,2330.2337546897543,2325.8077876296984,20.023249055507137,36.29663678428242,4.506687608039397
2024-06-25 07:00:00+00:00,2327.7966666666666,2329.1622857142856,2331.0579480519477,2328.8667295815294,2326.189672086511,25.40113168196555,27.52851020754594,4.546924207465134
2024-06-25 08:00:00+00:00,2326.951111111111,2328.771714285714,2330.597616883117,2327.4970608946605,2326.4366135161135,21.944299951888706,22.456226896453774,4.620001049789032
2024-06-25 09:00:00+00:00,2326.733777777778,2328.635476190476,2330.2446948051947,2326.4906545454537,2326.6449459389814,32.15686274509657,26.500764792983585,4.623572403375535
2024-06-25 10:00:00+00:00,2326.1513333333332,2328.2398571428575,2329.8197597402595,2325.5663451659448,2326.761577106095,24.565826330531678,26.22232967583896,4.554031517420146
2024-06-25 11:00:00+00:00,2326.7086666666664,2328.314857142857,2329.593051948052,2325.2571376623378,2326.945264430014,37.731092436974144,31.484593837534106,4.769457837604433
2024-06-25 12:00:00+00:00,2327.9784444444444,2328.7001904761905,2329.509097402597,2325.7226147186148,2327.2711141689,54.0053652594713,38.76742800899235,4.761639420632711
2024-06-25 13:00:00+00:00,2329.6246666666666,2329.2709047619046,2329.5245649350645,2326.9734897546896,2327.7678209303926,77.61129543641945,56.449251044288275,4.738665176301806
2024-06-25 14:00:00+00:00,2330.0208888888887,2329.3119047619048,2329.3701168831167,2328.2406152958156,2328.244088512678,75.35673507569012,68.99113192386027,4.993046235137405
2024-06-25 15:00:00+00:00,2329.1448888888885,2328.788,2329.021818181818,2328.8580311688315,2328.537829468151,49.4541231126589,67.47405120825614,5.093542932627565
2024-06-25 16:00:00+00:00,2328.5797777777775,2328.429333333333,2328.753915584416,2328.9913350649354,2328.7064814557134,31.002788424888696,51.937882204412546,5.232575580297022
