n,ic,ic_p,spread_usd_per_oz,spread_atr,nw_t,monotonicity,net_usd_per_oz,pays_costs,decile_means_usd,timeframe,feature,horizon,fdr_significant,skipped
1443447,-0.021708775760452166,5.431741398553705e-150,-0.0013898645606012644,-0.022907823296985475,-0.10696228370972855,0.1515151515151515,-0.2913898645606013,False,"[0.015462052720911628, 0.01656739062662378, -0.005789225738513531, -0.006817901555301529, -0.007661643977969676, 0.00873732195311225, 0.024911912432020518, 0.019040140220584142, 0.014700405279019006, 0.014072188160310363]",M5,dist_vwap,3,True,
1443345,-0.012493475080940378,6.300931251869582e-51,0.014497523123289509,0.0073854067160226845,1.399687187631149,0.5030303030303029,-0.27550247687671053,False,"[0.009612567984203377, 0.0030477226433134465, 0.0017491252987842727, -0.0011577313730655825, 0.0008864793709079256, 0.01732883450884771, -0.012062299943187513, 0.02116562164409193, 0.028540468635249037, 0.024110091107492886]",M5,dist_pdh,3,True,
1443345,-0.00961900163144977,6.847537582707381e-31,0.03066511934042322,0.026902120257291284,2.655364617557607,0.8545454545454544,-0.2593348806595768,False,"[-0.011384972459902266, 0.0035967963196472173, -7.946790452734371e-05, 0.014693003727465464, 0.004974053417396697, 0.011800268820929556, 0.00991394958914718, 0.021144074548792687, 0.019283190377873783, 0.019280146880520953]",M5,dist_pdl,3,True,
1443260,0.0033074416254494847,7.084574568682731e-05,0.023017497116288362,0.014691744397729458,2.1825725075693057,0.5151515151515151,-0.26698250288371167,False,"[0.004429601812525309, 0.002305806755390679, 0.005472609910490833, 0.006820225731131653, 0.002909555781902565, 0.0012661437836041078, 0.015255394038496498, 0.0030619618483348674, 0.024301052894419584, 0.02744709892881367]",M5,efficiency_ratio,3,True,
1443447,-0.02647019131719853,5.054544242565142e-222,-0.05185757768602054,-0.037029351331702064,-5.85100579686079,-1.0,-0.3418575776860206,False,"[0.031958456690209025, 0.009949177827965635, 0.00615059280316117, 0.004517918537506645, -0.0009519901999287393, -0.010659562786983098, -0.019899120995811516]",M5,streak,3,True,
1443447,-0.0003937598030923021,0.636158550684922,0.010195665569178534,-0.009992148572677963,-0.3587557235018728,0.38181818181818183,-0.2798043344308215,False,"[0.022909003780416364, -0.003331186949989114, 0.011260065322284962, -0.011391180934325739, -0.0008927395168977521, -0.008029178729239717, 0.002570371610821044, 0.005454970747938194, 0.056338340397609446, 0.0331046693495949]",M5,hour,3,False,
1443447,,,,,,,,,,M5,dow,3,,insufficient data
1443443,-0.01834190261551321,1.2338117325129559e-107,-0.04045924694308846,-0.008619906700894353,-2.683594548453805,-0.7454545454545454,-0.3304592469430885,False,"[0.03642606255845377, 0.0193730948290195, 0.02161988028598347, 0.02966732250734319, 0.013326520300000696, 0.036607555350226195, 0.016604015407637496, 0.012390954940974669, 0.009571786842542769, -0.004033184384634686]",M5,ret_1,6,True,
1443441,-0.02695048677650563,4.4559269685720935e-230,-0.021038136939588867,-0.008996433178056342,-1.1375281897843417,-0.8424242424242423,-0.3110381369395889,False,"[0.04116159201912079, 0.02845404034805722, 0.02645852962367704, 0.022394626725045465, 0.016784791065378484, 0.022120595786804323, 0.010432577730976004, -0.005313071551293841, 0.004367067560826374, 0.020123455079531925]",M5,ret_3,6,True,
1443438,-0.02967635702273677,1.5389617279712578e-278,-0.030877972066729206,-0.018107563074243865,-1.448659106514285,-0.24848484848484845,-0.32087797206672924,False,"[0.055789295017458086, 0.01955044892756214, 0.008374231003713336, 0.012384389960025602, 0.02419217347292145, 0.004892227066670917, 0.022542624166048856, 0.005324086903508279, 0.0076903092612092, 0.02491132295072888]",M5,ret_6,6,True,
